"erkrankungen";"hospitalisiert";"intensivstation";"nr_tests";"date"
11766;1071;245;104134;2020-04-05 00:00:00
11766;1071;245;104134;2020-04-05 01:00:00
11766;1071;245;104134;2020-04-05 02:00:00
11766;1071;245;104134;2020-04-05 03:00:00
11766;1071;245;104134;2020-04-05 04:00:00
11766;1071;245;104134;2020-04-05 05:00:00
11766;1071;245;104134;2020-04-05 06:00:00
11766;1071;245;104134;2020-04-05 07:00:00
11767;1071;245;104134;2020-04-05 08:00:00
11770;1071;245;104134;2020-04-05 09:00:00
11821;1071;245;104134;2020-04-05 10:00:00
11831;1071;245;104134;2020-04-05 11:00:00
11850;1056;244;108416;2020-04-05 12:00:00
11861;1056;244;108416;2020-04-05 13:00:00
