"erkrankungen","hospitalisiert","intensivstation","nr_tests","date"
13560,1032,261,134743,2020-04-11 00:00:00
13560,1032,261,134743,2020-04-11 01:00:00
13560,1032,261,134743,2020-04-11 02:00:00
13560,1032,261,134743,2020-04-11 03:00:00
13560,1032,261,134743,2020-04-11 04:00:00
13560,1032,261,134743,2020-04-11 05:00:00
13560,1032,261,134743,2020-04-11 06:00:00
13560,1032,261,134743,2020-04-11 07:00:00
13561,1032,261,134743,2020-04-11 08:00:00
13799,1036,246,140975,2020-04-11 21:00:00
13802,1036,246,140975,2020-04-11 22:00:00
13806,1036,246,140975,2020-04-11 23:00:00
