"erkrankungen";"hospitalisiert";"intensivstation";"nr_tests";"date"
8788;931;187;46441;2020-03-30 00:00:00
8788;931;187;46441;2020-03-30 01:00:00
8788;931;187;46441;2020-03-30 02:00:00
8788;931;187;46441;2020-03-30 03:00:00
8788;931;187;46441;2020-03-30 04:00:00
8788;931;187;46441;2020-03-30 05:00:00
8788;931;187;46441;2020-03-30 06:00:00
8788;931;187;46441;2020-03-30 07:00:00
8813;931;187;46441;2020-03-30 08:00:00
8867;931;187;46441;2020-03-30 09:00:00
8958;931;187;46441;2020-03-30 10:00:00
9103;999;193;49455;2020-03-30 12:00:00
9200;999;193;49455;2020-03-30 13:00:00
9299;999;193;49455;2020-03-30 14:00:00
9377;999;193;49455;2020-03-30 15:00:00
9424;999;193;49455;2020-03-30 16:00:00
9454;999;193;49455;2020-03-30 17:00:00
9520;999;193;49455;2020-03-30 18:00:00
9541;999;193;49455;2020-03-30 19:00:00
