"bundesland";"freq";"date"
"W";1770;2020-04-07 00:00:00
"Vbg";760;2020-04-07 00:00:00
"T";2786;2020-04-07 00:00:00
"Stmk";1351;2020-04-07 00:00:00
"Sbg";1085;2020-04-07 00:00:00
"OÖ";1974;2020-04-07 00:00:00
"NÖ";2010;2020-04-07 00:00:00
"Ktn";329;2020-04-07 00:00:00
"Bgld";232;2020-04-07 00:00:00
"W";1770;2020-04-07 01:00:00
"Vbg";760;2020-04-07 01:00:00
"T";2786;2020-04-07 01:00:00
"Stmk";1351;2020-04-07 01:00:00
"Sbg";1085;2020-04-07 01:00:00
"OÖ";1974;2020-04-07 01:00:00
"NÖ";2010;2020-04-07 01:00:00
"Ktn";329;2020-04-07 01:00:00
"Bgld";232;2020-04-07 01:00:00
"W";1770;2020-04-07 02:00:00
"Vbg";760;2020-04-07 02:00:00
"T";2786;2020-04-07 02:00:00
"Stmk";1351;2020-04-07 02:00:00
"Sbg";1085;2020-04-07 02:00:00
"OÖ";1974;2020-04-07 02:00:00
"NÖ";2010;2020-04-07 02:00:00
"Ktn";329;2020-04-07 02:00:00
"Bgld";232;2020-04-07 02:00:00
"W";1770;2020-04-07 03:00:00
"Vbg";760;2020-04-07 03:00:00
"T";2786;2020-04-07 03:00:00
"Stmk";1351;2020-04-07 03:00:00
"Sbg";1085;2020-04-07 03:00:00
"OÖ";1974;2020-04-07 03:00:00
"NÖ";2010;2020-04-07 03:00:00
"Ktn";329;2020-04-07 03:00:00
"Bgld";232;2020-04-07 03:00:00
"W";1770;2020-04-07 03:59:59
"Vbg";760;2020-04-07 03:59:59
"T";2786;2020-04-07 03:59:59
"Stmk";1351;2020-04-07 03:59:59
"Sbg";1085;2020-04-07 03:59:59
"OÖ";1974;2020-04-07 03:59:59
"NÖ";2010;2020-04-07 03:59:59
"Ktn";329;2020-04-07 03:59:59
"Bgld";232;2020-04-07 03:59:59
"W";1770;2020-04-07 05:00:00
"Vbg";760;2020-04-07 05:00:00
"T";2786;2020-04-07 05:00:00
"Stmk";1351;2020-04-07 05:00:00
"Sbg";1085;2020-04-07 05:00:00
"OÖ";1974;2020-04-07 05:00:00
"NÖ";2010;2020-04-07 05:00:00
"Ktn";329;2020-04-07 05:00:00
"Bgld";232;2020-04-07 05:00:00
"W";1770;2020-04-07 06:00:00
"Vbg";760;2020-04-07 06:00:00
"T";2786;2020-04-07 06:00:00
"Stmk";1351;2020-04-07 06:00:00
"Sbg";1085;2020-04-07 06:00:00
"OÖ";1974;2020-04-07 06:00:00
"NÖ";2010;2020-04-07 06:00:00
"Ktn";329;2020-04-07 06:00:00
"Bgld";232;2020-04-07 06:00:00
"W";1770;2020-04-07 07:00:00
"Vbg";760;2020-04-07 07:00:00
"T";2786;2020-04-07 07:00:00
"Stmk";1351;2020-04-07 07:00:00
"Sbg";1085;2020-04-07 07:00:00
"OÖ";1974;2020-04-07 07:00:00
"NÖ";2010;2020-04-07 07:00:00
"Ktn";329;2020-04-07 07:00:00
"Bgld";232;2020-04-07 07:00:00
"W";1771;2020-04-07 08:00:00
"Vbg";760;2020-04-07 08:00:00
"T";2786;2020-04-07 08:00:00
"Stmk";1352;2020-04-07 08:00:00
"Sbg";1085;2020-04-07 08:00:00
"OÖ";1974;2020-04-07 08:00:00
"NÖ";2043;2020-04-07 08:00:00
"Ktn";329;2020-04-07 08:00:00
"Bgld";232;2020-04-07 08:00:00
"W";1774;2020-04-07 09:00:00
"Vbg";764;2020-04-07 09:00:00
"T";2803;2020-04-07 09:00:00
"Stmk";1354;2020-04-07 09:00:00
"Sbg";1085;2020-04-07 09:00:00
"OÖ";1977;2020-04-07 09:00:00
"NÖ";2062;2020-04-07 09:00:00
"Ktn";333;2020-04-07 09:00:00
"Bgld";234;2020-04-07 09:00:00
"W";1777;2020-04-07 10:00:00
"Vbg";764;2020-04-07 10:00:00
"T";2804;2020-04-07 10:00:00
"Stmk";1354;2020-04-07 10:00:00
"Sbg";1085;2020-04-07 10:00:00
"OÖ";1978;2020-04-07 10:00:00
"NÖ";2061;2020-04-07 10:00:00
"Ktn";333;2020-04-07 10:00:00
"Bgld";234;2020-04-07 10:00:00
"W";1777;2020-04-07 11:00:00
"Vbg";764;2020-04-07 11:00:00
"T";2808;2020-04-07 11:00:00
"Stmk";1354;2020-04-07 11:00:00
"Sbg";1085;2020-04-07 11:00:00
"OÖ";1980;2020-04-07 11:00:00
"NÖ";2064;2020-04-07 11:00:00
"Ktn";333;2020-04-07 11:00:00
"Bgld";234;2020-04-07 11:00:00
"W";1785;2020-04-07 12:00:00
"Vbg";765;2020-04-07 12:00:00
"T";2819;2020-04-07 12:00:00
"Stmk";1355;2020-04-07 12:00:00
"Sbg";1090;2020-04-07 12:00:00
"OÖ";1982;2020-04-07 12:00:00
"NÖ";2064;2020-04-07 12:00:00
"Ktn";333;2020-04-07 12:00:00
"Bgld";234;2020-04-07 12:00:00
