"erkrankungen";"hospitalisiert";"intensivstation";"nr_tests";"date"
12297;1074;250;111296;2020-04-07 00:00:00
12297;1074;250;111296;2020-04-07 01:00:00
12297;1074;250;111296;2020-04-07 02:00:00
12297;1074;250;111296;2020-04-07 03:00:00
12297;1074;250;111296;2020-04-07 03:59:59
12297;1074;250;111296;2020-04-07 05:00:00
12297;1074;250;111296;2020-04-07 06:00:00
12297;1074;250;111296;2020-04-07 07:00:00
12332;1074;250;111296;2020-04-07 08:00:00
12386;1074;250;111296;2020-04-07 09:00:00
12390;1074;250;111296;2020-04-07 10:00:00
12399;1074;250;111296;2020-04-07 11:00:00
12427;1100;243;115235;2020-04-07 12:00:00
12461;1100;243;115235;2020-04-07 12:59:59
12488;1100;243;115235;2020-04-07 14:00:00
