"erkrankungen","hospitalisiert","intensivstation","nr_tests","date"
11983,1056,244,108416,2020-04-06 00:00:00
11983,1056,244,108416,2020-04-06 01:00:00
11983,1056,244,108416,2020-04-06 02:00:00
11983,1056,244,108416,2020-04-06 03:00:00
11983,1056,244,108416,2020-04-06 04:00:00
11983,1056,244,108416,2020-04-06 05:00:00
11983,1056,244,108416,2020-04-06 06:00:00
11984,1056,244,108416,2020-04-06 07:00:00
12008,1056,244,108416,2020-04-06 08:00:00
12026,1056,244,108416,2020-04-06 09:00:00
12058,1056,244,108416,2020-04-06 10:00:00
12072,1056,244,108416,2020-04-06 11:00:00
12083,1074,250,111296,2020-04-06 12:00:00
12109,1074,250,111296,2020-04-06 13:00:00
