"erkrankungen";"hospitalisiert";"intensivstation";"nr_tests";"date"
11983;1056;244;108416;2020-04-06 00:00:00
11983;1056;244;108416;2020-04-06 01:00:00
11983;1056;244;108416;2020-04-06 02:00:00
11983;1056;244;108416;2020-04-06 03:00:00
11983;1056;244;108416;2020-04-06 04:00:00
11983;1056;244;108416;2020-04-06 05:00:00
11983;1056;244;108416;2020-04-06 06:00:00
11984;1056;244;108416;2020-04-06 07:00:00
12008;1056;244;108416;2020-04-06 08:00:00
12026;1056;244;108416;2020-04-06 09:00:00
12058;1056;244;108416;2020-04-06 10:00:00
12072;1056;244;108416;2020-04-06 11:00:00
12083;1074;250;111296;2020-04-06 12:00:00
12109;1074;250;111296;2020-04-06 13:00:00
12162;1074;250;111296;2020-04-06 14:00:00
12206;1074;250;111296;2020-04-06 15:00:00
12236;1074;250;111296;2020-04-06 16:00:00
12261;1074;250;111296;2020-04-06 17:00:00
12267;1074;250;111296;2020-04-06 18:00:00
12280;1074;250;111296;2020-04-06 19:00:00
12286;1074;250;111296;2020-04-06 20:00:00
12293;1074;250;111296;2020-04-06 21:00:00
12295;1074;250;111296;2020-04-06 22:00:00
12297;1074;250;111296;2020-04-06 23:00:00
