"erkrankungen";"hospitalisiert";"intensivstation";"nr_tests";"date"
9618;999;193;49455;2020-03-31 00:00:00
9618;999;193;49455;2020-03-31 01:00:00
9618;999;193;49455;2020-03-31 02:00:00
9618;999;193;49455;2020-03-31 03:00:00
9618;999;193;49455;2020-03-31 04:00:00
9618;999;193;49455;2020-03-31 05:00:00
9618;999;193;49455;2020-03-31 06:00:00
9619;999;193;49455;2020-03-31 07:00:00
9634;999;193;49455;2020-03-31 08:00:00
9705;999;193;49455;2020-03-31 09:00:00
9772;999;193;49455;2020-03-31 10:00:00
9825;999;193;49455;2020-03-31 11:00:00
9851;1110;198;52344;2020-03-31 12:00:00
9876;1110;198;52344;2020-03-31 13:00:00
9920;1110;198;52344;2020-03-31 14:00:00
9974;1110;198;52344;2020-03-31 15:00:00
10019;1110;198;52344;2020-03-31 16:00:00
10038;1110;198;52344;2020-03-31 17:00:00
10088;1110;198;52344;2020-03-31 18:00:00
10109;1110;198;52344;2020-03-31 19:00:00
10122;1110;198;52344;2020-03-31 20:00:00
10141;1110;198;52344;2020-03-31 21:00:00
10147;1110;198;52344;2020-03-31 22:00:00
