"erkrankungen","hospitalisiert","intensivstation","nr_tests","date"
12942,1096,267,120755,2020-04-09 00:00:00
12942,1096,267,120755,2020-04-09 01:00:00
12942,1096,267,120755,2020-04-09 02:00:00
12942,1096,267,120755,2020-04-09 03:00:00
12942,1096,267,120755,2020-04-09 04:00:00
12942,1096,267,120755,2020-04-09 05:00:00
12942,1096,267,120755,2020-04-09 06:00:00
12942,1096,267,120755,2020-04-09 07:00:00
12969,1096,267,120755,2020-04-09 08:00:00
12981,1096,267,120755,2020-04-09 09:00:00
13005,1096,267,120755,2020-04-09 10:00:00
13011,1096,267,120755,2020-04-09 11:00:00
13028,1086,266,126287,2020-04-09 12:00:00
13074,1086,266,126287,2020-04-09 13:00:00
13105,1086,266,126287,2020-04-09 14:00:00
13138,1086,266,126287,2020-04-09 15:00:00
13163,1086,266,126287,2020-04-09 16:00:00
13206,1086,266,126287,2020-04-09 17:00:00
13219,1086,266,126287,2020-04-09 18:00:00
13233,1086,266,126287,2020-04-09 19:00:00
