"erkrankungen";"hospitalisiert";"intensivstation";"nr_tests";"date"
10182;1110;198;52344;2020-04-01 00:00:00
10182;1110;198;52344;2020-04-01 01:00:00
10182;1110;198;52344;2020-04-01 02:00:00
10182;1110;198;52344;2020-04-01 03:00:00
10182;1110;198;52344;2020-04-01 04:00:00
10182;1110;198;52344;2020-04-01 05:00:00
10182;1110;198;52344;2020-04-01 06:00:00
10185;1110;198;52344;2020-04-01 07:00:00
10192;1110;198;52344;2020-04-01 08:00:00
10298;1110;198;52344;2020-04-01 09:00:00
10366;1110;198;52344;2020-04-01 10:00:00
10372;1110;198;52344;2020-04-01 11:00:00
10387;1071;215;55863;2020-04-01 12:00:00
10418;1071;215;55863;2020-04-01 13:00:00
10444;1071;215;55863;2020-04-01 14:00:00
10482;1071;215;55863;2020-04-01 15:00:00
10501;1071;215;55863;2020-04-01 16:00:00
10553;1071;215;55863;2020-04-01 17:00:00
10585;1071;215;55863;2020-04-01 18:00:00
10636;1071;215;55863;2020-04-01 19:00:00
10663;1071;215;55863;2020-04-01 20:00:00
10668;1071;215;55863;2020-04-01 21:00:00
10679;1071;215;55863;2020-04-01 22:00:00
10711;1071;215;55863;2020-04-01 23:00:00
