"erkrankungen";"hospitalisiert";"intensivstation";"nr_tests";"date"
11129;1027;227;92190;2020-04-03 00:00:00
11129;1027;227;92190;2020-04-03 01:00:00
11129;1027;227;92190;2020-04-03 02:00:00
11129;1027;227;92190;2020-04-03 03:00:00
11129;1027;227;92190;2020-04-03 04:00:00
11129;1027;227;92190;2020-04-03 05:00:00
11129;1027;227;92190;2020-04-03 06:00:00
11127;1027;227;92190;2020-04-03 07:00:00
11171;1027;227;92190;2020-04-03 08:00:00
11199;1027;227;92190;2020-04-03 09:00:00
11224;1027;227;92190;2020-04-03 10:00:00
11238;1027;227;92190;2020-04-03 11:00:00
11251;1074;245;98343;2020-04-03 12:00:00
11301;1074;245;98343;2020-04-03 13:00:00
11350;1074;245;98343;2020-04-03 14:00:00
11383;1074;245;98343;2020-04-03 15:00:00
11412;1074;245;98343;2020-04-03 16:00:00
11444;1074;245;98343;2020-04-03 17:00:00
11464;1074;245;98343;2020-04-03 18:00:00
11489;1074;245;98343;2020-04-03 19:00:00
11506;1074;245;98343;2020-04-03 20:00:00
