"erkrankungen";"hospitalisiert";"intensivstation";"nr_tests";"date"
10711;1071;215;55863;2020-04-02 00:00:00
10711;1071;215;55863;2020-04-02 01:00:00
10711;1071;215;55863;2020-04-02 02:00:00
10711;1071;215;55863;2020-04-02 03:00:00
10711;1071;215;55863;2020-04-02 04:00:00
10711;1071;215;55863;2020-04-02 05:00:00
10711;1071;215;55863;2020-04-02 06:00:00
10718;1071;215;55863;2020-04-02 07:00:00
10769;1071;215;55863;2020-04-02 08:00:00
10809;1071;215;55863;2020-04-02 09:00:00
10842;1071;215;55863;2020-04-02 10:00:00
10859;1071;215;55863;2020-04-02 11:00:00
10877;1027;227;92190;2020-04-02 12:00:00
10892;1027;227;92190;2020-04-02 13:00:00
10927;1027;227;92190;2020-04-02 14:00:00
10967;1027;227;92190;2020-04-02 15:00:00
10996;1027;227;92190;2020-04-02 16:00:00
11027;1027;227;92190;2020-04-02 17:00:00
11063;1027;227;92190;2020-04-02 18:00:00
11076;1027;227;92190;2020-04-02 19:00:00
11106;1027;227;92190;2020-04-02 20:00:00
11108;1027;227;92190;2020-04-02 21:00:00
