"erkrankungen","hospitalisiert","intensivstation","nr_tests","date"
13937,1035,243,144877,2020-04-13 00:00:00
13937,1035,243,144877,2020-04-13 01:00:00
13937,1035,243,144877,2020-04-13 02:00:00
13937,1035,243,144877,2020-04-13 03:00:00
13937,1035,243,144877,2020-04-13 04:00:00
13937,1035,243,144877,2020-04-13 05:00:00
13937,1035,243,144877,2020-04-13 06:00:00
13940,1035,243,144877,2020-04-13 07:00:00
13942,1035,243,144877,2020-04-13 08:00:00
13942,1035,243,144877,2020-04-13 09:00:00
13962,1035,243,144877,2020-04-13 10:00:00
13972,1035,243,144877,2020-04-13 11:00:00
13974,981,239,148412,2020-04-13 12:00:00
13984,981,239,148412,2020-04-13 13:00:00
13998,981,239,148412,2020-04-13 14:00:00
13999,981,239,148412,2020-04-13 15:00:00
14013,981,239,148412,2020-04-13 16:00:00
