"erkrankungen";"hospitalisiert";"intensivstation";"nr_tests";"date"
13806;1036;246;140975;2020-04-12 00:00:00
13806;1036;246;140975;2020-04-12 01:00:00
13806;1036;246;140975;2020-04-12 02:00:00
13806;1036;246;140975;2020-04-12 03:00:00
13806;1036;246;140975;2020-04-12 04:00:00
13806;1036;246;140975;2020-04-12 05:00:00
13806;1036;246;140975;2020-04-12 06:00:00
13807;1036;246;140975;2020-04-12 07:00:00
13810;1036;246;140975;2020-04-12 08:00:00
13814;1036;246;140975;2020-04-12 09:00:00
13818;1036;246;140975;2020-04-12 10:00:00
13838;1036;246;140975;2020-04-12 11:00:00
13865;1035;243;144877;2020-04-12 12:00:00
13877;1035;243;144877;2020-04-12 13:00:00
13890;1035;243;144877;2020-04-12 14:00:00
13894;1035;243;144877;2020-04-12 15:00:00
13909;1035;243;144877;2020-04-12 16:00:00
13918;1035;243;144877;2020-04-12 17:00:00
13926;1035;243;144877;2020-04-12 18:00:00
13936;1035;243;144877;2020-04-12 19:00:00
13936;1035;243;144877;2020-04-12 20:00:00
13937;1035;243;144877;2020-04-12 21:00:00
