"erkrankungen";"hospitalisiert";"intensivstation";"nr_tests";"date"
2884;100;15;NA;2020-03-21 19:45:00
2899;100;15;NA;2020-03-21 20:00:00
2917;100;15;NA;2020-03-21 20:15:00
2927;101;15;NA;2020-03-21 20:30:00
2948;101;15;NA;2020-03-21 20:45:00
2953;101;15;NA;2020-03-21 21:00:00
2953;101;15;NA;2020-03-21 21:15:00
2954;101;15;NA;2020-03-21 21:30:00
2954;101;15;NA;2020-03-21 21:45:00
2955;102;15;NA;2020-03-21 22:00:00
2959;102;15;NA;2020-03-21 22:15:00
2970;102;15;NA;2020-03-21 22:30:00
2992;102;15;NA;2020-03-21 22:45:00
3005;102;15;NA;2020-03-21 23:00:00
3017;102;15;NA;2020-03-21 23:15:00
3018;102;15;NA;2020-03-21 23:30:00
3018;102;15;NA;2020-03-21 23:45:00
