"erkrankungen","hospitalisiert","intensivstation","nr_tests","date"
14043,981,239,148412,2020-04-14 00:00:00
14043,981,239,148412,2020-04-14 01:00:00
14043,981,239,148412,2020-04-14 02:00:00
14043,981,239,148412,2020-04-14 03:00:00
14043,981,239,148412,2020-04-14 04:00:00
14043,981,239,148412,2020-04-14 05:00:00
14043,981,239,148412,2020-04-14 06:00:00
14045,981,239,148412,2020-04-14 07:00:00
14060,981,239,148412,2020-04-14 08:00:00
14083,981,239,148412,2020-04-14 09:00:00
14100,981,239,148412,2020-04-14 10:00:00
14102,981,239,148412,2020-04-14 10:27:22
14106,981,239,148412,2020-04-14 11:00:00
14119,1002,243,151796,2020-04-14 12:00:00
14135,1002,243,151796,2020-04-14 13:00:00
